.	emdb
1001	motor
1003	70s
1004	70s
1005	70s
1006	70s
1007	70s
1008	70s
1009	ribosome-c
1010	ribosome-c
1011	virus-o
1012	virus-o
1013	virus-o
1014	virus-o
1015	virus-e
1016	virus-e
1017	dna
1018	virus-e
1019	ribosome-c
1020	virus-c
1021	virus-c
1022	dna
1023	dna
1024	dna
1025	motor
1026	motor
1027	motor
1028	motor
1029	motor
1030	motor
1031	motor
1032	motor
1033	motor
1034	motor
1035	motor
1036	motor
1037	motor
1038	motor
1039	motor
1040	motor
1041	motor
1042	protein
1043	rna
1044	membrane
1045	70s
1046	protein
1047	protein
1048	virus-c
1049	virus-e
1050	misc
1051	cell
1052	cell
1053	cell
1054	dna
1055	70s
1056	70s
1057	virus-e
1058	virus-e
1059	misc
1060	virus-e
1061	membrane
1062	rna
1063	80s
1064	70s
1065	70s
1066	rna
1067	80s
1068	70s
1069	membrane
1070	70s
1071	70s
1072	70s
1073	ribosome-c
1074	membrane
1075	virus-o
1076	80s
1077	70s
1078	hem
1079	membrane
1080	protein
1081	protein
1082	virus-o
1083	virus-o
1084	virus-o
1085	virus-o
1086	virus-c
1087	membrane
1088	motor
1089	virus-c
1090	ribosome-c
1091	80s
1092	ribosome-c
1093	80s
1094	membrane
1095	protein
1096	rna
1097	membrane2
1098	membrane
1099	misc
1100	needle
1101	virus-o
1102	dna
1103	cycle
1104	cycle
1105	cycle
1106	membrane2
1107	membrane2
1108	membrane2
1109	rna
1110	70s
1111	virus-e
1112	virus-e
1113	virus-e
1114	virus-e
1115	virus-e
1116	virus-o
1117	virus-o
1118	virus-e
1119	virus-c
1120	virus-o
1121	virus-e
1122	70s
1123	virus-o
1124	virus-o
1125	80s
1126	virus-c
1127	ribosome-c
1128	70s
1129	motor
1130	motor
1131	motor
1132	needle
1133	virus-e
1134	dna
1135	dna
1136	virus-e
1137	virus-e
1138	80s
1139	cycle
1140	cycle
1141	rna
1142	cycle
1143	70s
1144	virus-e
1145	virus-e
1146	dna
1147	dna
1148	dna
1149	protein
1150	virus-e
1151	misc
1152	misc
1153	virus-e
1154	virus-e
1155	virus-e
1156	dna
1157	dna
1158	virus-c
1159	virus-c
1160	needle
1161	virus-o
1162	virus-o
1163	virus-o
1164	virus-o
1165	virus-e
1166	virus-e
1167	virus-c
1168	80s
1169	80s
1170	ribosome-c
1171	ribosome-c
1172	70s
1173	70s
1174	cycle
1175	virus-o
1176	virus-o
1177	virus-e
1178	virus-c
1179	virus-c
1180	protein
1181	protein
1182	virus-e
1183	virus-e
1184	70s
1185	70s
1186	amyloid
1187	amyloid
1188	protein
1189	protein
1190	cycle
1191	cycle
1192	cycle
1193	cycle
1194	rna
1195	rna
1196	rna
1197	80s
1198	80s
1199	80s
1200	protein
1201	motor
1202	protein
1203	protein
1204	misc
1205	misc
1206	virus-o
1207	virus-o
1208	dna
1209	dna
1210	dna
1211	ribosome-c
1212	ribosome-c
1213	membrane
1214	needle
1215	needle
1216	virus-c
1217	80s
1218	misc
1219	misc
1220	virus-o
1221	protein
1222	virus-o
1223	membrane
1224	needle
1225	dna
1226	protein
1227	protein
1228	protein
1229	protein
1230	protein
1231	virus-c
1232	membrane2
1233	80s
1234	virus-e
1235	needle
1236	needle
1237	virus-e
1238	virus-e
1239	virus-e
1240	virus-o
1241	protein
1242	protein
1243	protein
1244	protein
1245	cycle
1246	virus-c
1247	virus-c
1248	70s
1249	ribosome-c
1250	70s
1251	70s
1252	dna
1253	dna
1254	dna
1255	virus-c
1256	virus-c
1257	rna
1258	rna
1259	rna
1260	virus-o
1261	70s
1262	70s
1263	70s
1264	80s
1265	virus-o
1266	virus-o
1267	virus-c
1268	virus-c
1269	virus-c
1270	dna
1271	dna
1272	virus-e
1273	cell
1274	membrane
1275	membrane
1276	dna
1277	dna
1278	dna
1279	dna
1280	virus-o
1281	virus-o
1282	rna
1283	rna
1284	rna
1285	80s
1286	protein
1287	virus-e
1288	virus-e
1289	protein
1290	misc
1291	protein
1292	protein
1293	protein
1294	rna
1295	protein
1296	protein
1297	protein
1298	protein
1299	virus-o
1300	virus-o
1301	virus-o
1302	70s
1303	80s
1304	hem
1305	virus-e
1306	virus-e
1307	virus-e
1308	virus-c
1309	motor
1310	70s
1311	70s
1312	70s
1313	misc
1314	virus-e
1315	70s
1316	virus-e
1317	dna
1318	membrane
1319	misc
1320	virus-e
1321	virus-o
1322	rna
1323	70s
1324	70s
1325	rna
1326	virus-e
1327	ribosome-c
1328	ribosome-c
1329	ribosome-c
1330	ribosome-c
1331	ribosome-c
1332	ribosome-c
1333	virus-c
1334	virus-o
1335	virus-c
1336	virus-o
1337	virus-o
1338	misc
1339	virus-o
1340	motor
1341	membrane
1342	80s
1343	80s
1344	80s
1345	80s
1346	ribosome-c
1347	ribosome-c
1348	ribosome-c
1349	ribosome-c
1350	virus-o
1351	virus-o
1352	virus-o
1353	virus-o
1354	virus-e
1355	dna
1356	misc
1357	membrane
1358	protein
1359	protein
1360	misc
1361	misc
1362	70s
1363	70s
1364	ribosome-c
1365	70s
1366	70s
1367	membrane
1368	virus-o
1369	ribosome-c
1370	70s
1371	motor
1372	motor
1373	motor
1374	cell
1375	virus-e
1376	virus-c
1377	virus-e
1378	virus-c
1379	virus-e
1380	virus-c
1381	virus-e
1382	virus-c
1383	virus-e
1384	virus-c
1385	virus-e
1386	virus-c
1387	virus-e
1388	virus-c
1389	virus-e
1390	virus-c
1391	70s
1392	virus-o
1393	virus-c
1394	membrane2
1395	70s
1396	protein
1397	protein
1398	protein
1399	virus-e
1400	virus-e
1401	virus-e
1402	virus-e
1403	virus-e
1404	virus-e
1405	virus-e
1406	virus-e
1407	virus-e
1408	virus-e
1409	dna
1410	dna
1411	virus-e
1412	virus-e
1413	ribosome-c
1414	virus-o
1415	virus-o
1416	needle
1417	70s
1418	virus-e
1419	virus-o
1420	virus-o
1421	virus-c
1422	needle
1423	virus-c
1424	membrane
1425	virus-c
1426	cell
1427	motor
1428	motor
1429	motor
1430	ribosome-c
1431	virus-o
1432	virus-o
1433	virus-o
1434	hem
1435	rna
1436	rna
1437	virus-e
1438	rna
1439	rna
1440	misc
1441	motor
1442	motor
1443	motor
1444	motor
1445	virus-e
1446	virus-e
1447	virus-e
1448	misc
1449	cell
1450	cell
1451	cell
1452	cell
1453	cell
1454	cell
1455	ribosome-c
1456	ribosome-c
1457	protein
1458	protein
1459	virus-e
1460	virus-e
1461	virus-c
1462	virus-e
1463	virus-e
1464	virus-e
1465	motor
1466	virus-e
1467	virus-e
1468	virus-e
1469	dna
1470	motor
1471	membrane2
1472	virus-o
1473	virus-o
1474	virus-o
1475	virus-o
1476	virus-o
1477	virus-o
1478	virus-o
1479	virus-o
1480	80s
1481	protein
1482	virus-c
1483	virus-c
1484	70s
1485	dna
1486	cell
1487	cell
1488	cell
1489	virus-e
1490	virus-e
1491	motor
1492	dna
1493	dna
1494	needle
1495	needle
1496	motor
1497	motor
1498	virus-c
1499	70s
1500	virus-o
1501	virus-o
1502	virus-o
1503	virus-o
1504	protein
1505	protein
1506	virus-o
1507	virus-o
1508	virus-e
1509	virus-o
1510	misc
1511	membrane2
1512	virus-e
1513	virus-e
1514	virus-e
1515	virus-e
1516	virus-e
1517	virus-e
1518	virus-e
1519	virus-e
1520	virus-e
1521	virus-e
1522	virus-e
1523	ribosome-c
1524	70s
1525	virus-o
1526	dna
1527	misc
1528	80s
1529	virus-c
1530	misc
1531	protein
1532	virus-e
1533	virus-e
1534	dna
1535	motor
1536	membrane2
1537	motor
1538	motor
1539	motor
1540	70s
1541	70s
1542	membrane
1544	protein
1545	protein
1546	protein
1547	protein
1548	protein
1549	virus-e
1550	virus-e
1551	70s
1552	misc
1553	70s
1554	70s
1555	misc
1556	misc
1557	virus-o
1558	misc
1559	membrane
1560	membrane
1561	motor
1562	virus-e
1563	virus-e
1564	70s
1565	70s
1566	rna
1567	rna
1568	rna
1569	hem
1570	virus-e
1571	virus-e
1572	virus-o
1573	virus-o
1574	virus-e
1575	virus-e
1576	cell
1577	rna
1578	rna
1579	virus-e
1580	virus-e
1581	motor
1582	70s
1583	misc
1584	motor
1585	motor
1586	virus-e
1587	protein
1588	protein
1589	membrane2
1590	membrane
1591	cycle
1592	cycle
1593	membrane
1594	rna
1595	rna
1596	virus-c
1597	virus-e
1598	misc
1599	protein
1600	protein
1601	protein
1602	protein
1603	virus-c
1604	motor
1605	membrane
1606	membrane
1607	membrane
1608	virus-e
1609	virus-c
1610	virus-e
1611	virus-e
1612	synth
1613	amyloid
1614	amyloid
1615	70s
1616	70s
1617	needle
1618	dna
1619	virus-o
1620	virus-o
1622	virus-e
1623	misc
1624	virus-e
1628	hem
1629	protein
1630	protein
1631	protein
1632	membrane
1633	membrane
1634	membrane
1635	membrane
1636	misc
1637	dna
1638	dna
1639	rna
1640	membrane
1641	needle
1642	cell
1643	cell
1644	needle
1645	membrane
1646	rna
1647	needle
1648	hem
1649	amyloid
1650	amyloid
1651	80s
1652	80s
1653	virus-e
1654	misc
1655	misc
1656	misc
1657	70s
1658	misc
1659	misc
1661	membrane
1662	virus-e
1663	virus-e
1664	80s
1665	80s
1666	80s
1667	80s
1668	80s
1669	80s
1670	80s
1671	80s
1672	80s
1673	protein
1674	motor
1675	misc
1676	misc
1677	misc
1678	misc
1679	virus-o
1680	misc
1681	dna
1682	dna
1683	dna
1684	dna
1685	dna
1686	dna
1687	dna
1688	virus-e
1689	virus-e
1690	virus-e
1691	virus-o
1692	virus-o
1693	virus-o
1694	virus-o
1696	motor
1697	motor
1698	membrane
1699	virus-c
1700	misc
1701	motor
1702	motor
1703	cell
1704	virus-c
1705	ribosome-c
1706	virus-c
1707	virus-o
1708	rna
1709	rna
1710	virus-e
1711	rna
1712	protein
1713	virus-o
1714	virus-o
1715	virus-o
1716	70s
1717	70s
1718	70s
1719	70s
1720	70s
1721	70s
1722	70s
1723	70s
1724	70s
1725	70s
1726	70s
1727	ribosome-c
1728	70s
1729	rna
1730	virus-e
1731	motor
1732	protein
1733	protein
1734	misc
1735	misc
1736	misc
1737	misc
1738	misc
1739	virus-e
1740	protein
1741	misc
1742	misc
1743	misc
1744	misc
1746	virus-c
1747	virus-c
1748	membrane
1749	membrane
1750	70s
1751	virus-c
1752	virus-c
1753	rna
1754	rna
1755	rna
1756	membrane
1757	motor
1758	motor
1759	motor
1760	motor
1761	membrane
1762	70s
1763	needle
1764	membrane
1765	membrane
1766	membrane
1767	80s
1768	80s
1769	membrane2
1770	ribosome-c
1771	ribosome-c
1772	membrane2
1773	membrane2
1774	ribosome-c
1775	ribosome-c
1776	protein
1777	misc
1778	misc
1779	virus-c
1780	80s
1781	dna
1782	dna
1783	ribosome-c
1784	membrane2
1785	membrane2
1786	membrane2
1787	motor
1788	motor
1792	virus-c
1793	virus-c
1794	virus-c
1795	virus-c
1796	ribosome-c
1797	ribosome-c
1798	70s
1799	70s
1800	virus-c
1801	virus-c
1802	rna
1803	rna
1804	rna
1805	misc
1806	virus-c
1807	misc
1808	80s
1809	80s
1810	virus-o
1811	80s
1812	80s
1813	virus-c
1814	virus-c
1815	cycle
1816	cycle
1817	cycle
1818	cycle
1819	cycle
1820	cycle
1821	cycle
1822	cycle
1823	misc
1824	virus-o
1825	virus-o
1826	virus-o
1827	virus-o
1828	virus-c
1829	70s
1830	70s
1831	membrane
1832	dna
1833	dna
1834	dna
1835	dna
1836	virus-e
1837	virus-e
1838	virus-e
1839	virus-e
1840	rna
1841	cycle
1842	cycle
1843	cycle
1844	cycle
1845	cycle
1846	rna
1847	rna
1848	rna
1849	70s
1850	70s
1851	rna
1852	rna
1853	rna
1854	70s
1855	ribosome-c
1856	membrane
1857	misc
1858	70s
1859	virus-o
1860	virus-o
1861	virus-o
1862	virus-e
1863	virus-e
1864	virus-e
1865	membrane2
1866	membrane2
1867	membrane2
1868	membrane2
1869	virus-o
1870	virus-e
1871	needle
1872	motor
1873	needle
1874	needle
1875	needle
1876	membrane
1877	dna
1878	dna
1879	virus-o
1880	virus-o
1881	virus-o
1882	virus-o
1883	rna
1884	ribosome-c
1885	membrane
1886	virus-e
1887	needle
1888	membrane
1889	protein
1890	dna
1891	dna
1892	dna
1893	dna
1894	protein
