.	F	あてはまる
en	fitted	
ja	あてはまる
2855-5adx
2973-2b6o
3728-5oa1
3729-5oa1
5585-3j32
5765-3j4u
5766-3j4u
8087-5ijn
8087-5ijo
7060-6b6h
7446-6cfz
4363-6g90
4365-6g90
20805-6pen
1089-2fl9
1089-3foi
1089-3h3y
1089-3j2n
1179-2c9f
1363-3izp
1363-3izp
1584-2w49
1584-2w4a
1584-2w49
1584-2w49
1584-2w4t
11853-7apk
11854-7apk
11855-7apk
11856-7apk
.	U	あてはまらない、座標系が異なる
en	unfit; in different coordinate system
ja	あてはまらない、座標系が異なる

11387-7art	2020-12-29
11170-7as5	2020-12-29
22166-6ztz	2020-09-22
30289-7c4v	2021-03-17
7029-6so3	2020-11-25
4906-6rju	2020-06-03
10555-6tqm	2020-06-03
10338-6sxb	2020-03-10
9607-6adl	2019-12-24
2848-5ai7	2019-11-05
4716-6r3a	2020-01-29
9974-6kfk	2019-10-15
4739-6r7f	2020-01-29
9730-6itb	2020-03-10
9730-6itf	2020-03-10	
4179-6r8n	2020-01-29
9383-6nj8	2020-01-29
3049-6gsm	2021-08-23
0449-6nme	2020-01-28
0046-6gsr	2020-01-28
9608-6adm	2019-02-04
9611-6adr	2019-02-04
9612-6ads	2019-02-04
9613-6adt	2020-12-09
0054-6gsh	2020-01-28
0335-6n3j	2020-01-28
0337-6n3u	2020-01-28
9132-6mix	2020-01-29
9133-6miz	2020-01-29
9134-6mj2	2020-01-29
9600-6acu	2020-02-12
1004-1mj1	2020-01-28
1051-1q55	2020-07-28
1051-1q5a	2020-07-28
1051-1q5b	2020-07-28
1051-1q5c	2020-07-28
1055-4v65	2020-01-28
1056-4v66	2020-01-28
1126-1zku	2020-01-28
1126-3foh	2021-10-18
1132-2bgy	2020-11-17
1132-2bgz	2017-10-12
1138-2agn	2020-01-28
1316-2om3	2020-01-28
1364-1pn7	2017-10-12
1364-1pn8	2017-10-12
1448-3b8k	2020-01-29
1469-3c9k	2020-01-29
1470-2zhc	2020-01-28
1663-2wyy	2020-01-28
1677-2x31	2020-01-28
1678-2x31	2020-01-28
1731-5fm1	2017-10-12
1799-4v5n	2020-01-29
1950-3dtp	2020-01-29
2089-4arg	2017-10-12
2211-2ymn	2017-10-12
2875-5aj0	2020-01-29
3566-5ojq	2020-01-28
3698-5nug	2020-01-28
5005-2voy	2020-01-28
5015-3dwu	2020-01-28
5233-3iz3	2020-01-29
6701-5x1g	2020-01-29
8222-5k7t	2020-01-29
8272-5knz	2021-06-30
8749-5vzl	2020-01-29
3576-5mva	2017-11-28
1089-1tja	2020-01-28
1653-3k1q	2017-10-31
3528-5mm2	2021-02-09
4199-6f9d	2020-01-29
4200-6f9e	2020-01-29
4275-6flq	2020-01-29
6854-5ywo	2020-12-09
6038-6b43	2020-01-29
6855-5ywp	2020-12-09
7495-6clc	2018-05-14
7496-6cld	2018-05-15
7497-6cle	2018-05-15
7498-6clf	2018-05-15
7499-6clg	2018-05-15
7500-6clh	2018-05-15
7501-6cli	2018-05-15
7502-6clj	2018-05-15
7503-6clk	2018-05-15
7504-6cll	2018-05-15
7505-6clm	2018-05-15
7506-6cln	2018-05-15
7507-6clo	2018-05-15
7508-6clp	2018-05-15
7509-6clq	2018-05-15
7510-6clr	2018-05-15
7511-6cls	2018-05-15
7512-6clt	2018-05-15
6944-5zrv	2020-01-29

.	P	あてはまらない、間違いペア?
en	unfit; worng pairing?	
ja	あてはまらない、間違いペア?
11377-6ztq
11424-6zr2
11425-6zr2
20687-6ua5
20688-6ua5
20690-6ua5
20691-6ua5
20701-6ua5
20704-6ua5
20705-6ua5
20687-6ua2
20688-6ua2
20690-6ua2
20691-6ua2
20701-6ua2
20687-6uaj
20688-6uaj
20690-6uaj
20691-6uaj
20701-6uaj
20704-6uaj
20705-6uaj
20706-6uaj
20286-6pb6
20287-6pb6
1009-1mvr
1010-1mvr
1014-1hb9
1178-2c9f
1561-2w49
1561-2w4a
1561-2w4t
1609-3gzt
1609-3gzu
1987-4a7h
2978-4uis
5021-3dnl
5022-3dnn
5023-3dno
5276-3j0g
4792-6rbe
4793-6rbd
4794-6rbe
4795-6rbd
4796-6rbd
.	K	マスクデータへのあてはめ
en	fitted to "mask" map
ja	マスクデータへのあてはめ
1001-1m8q
1001-1mvw
1001-1o18
1001-1o19
1001-1o1a
1001-1o1b
1001-1o1c
1001-1o1d
1001-1o1e
1001-1o1f
1001-1o1g
