
.	url

..	ソフト x-ray

s:refmac	http://www.ccp4.ac.uk/html/refmac5.html
s:hkl-2000	https://hkl-xray.com/hkl-2000
s:prochek	https://www.ebi.ac.uk/thornton-srv/software/PROCHECK/
s:molmol	https://sourceforge.net/projects/molmol/
s:csi	http://www.bionmr.ualberta.ca/bds/software/csi/latest/csi.html
s:phaser	http://www.ccp4.ac.uk/html/phaser.html
s:ccp4	http://www.ccp4.ac.uk/
s:coot	https://www2.mrc-lmb.cam.ac.uk/personal/pemsley/coot/
s:o	http://xray.bmc.uu.se/alwyn/TAJ/Home.html
s:cns	http://structure.usc.edu/cns/
s:xds	http://xds.mpimf-heidelberg.mpg.de/
s:scala	http://www.ccp4.ac.uk/html/scala.html
s:molrep	http://www.ccp4.ac.uk/html/molrep.html
s:mosflm	https://www.mrc-lmb.cam.ac.uk/harry/mosflm/
s:xscale	http://xds.mpimf-heidelberg.mpg.de/html_doc/xscale_program.html
s:amore	http://www.ccp4.ac.uk/html/amore.html
s:aimless	http://www.ccp4.ac.uk/html/aimless.html
s:hkl-3000	http://www.hkl-xray.com/hkl-3000
s:nmrpipe	https://www.ibbr.umd.edu/nmrpipe/
s:buster	http://www.globalphasing.com/buster/
s:cyana	http://www.cyana.org/wiki/index.php/Main_Page
s:blu-ice	http://smb.slac.stanford.edu/research/developments/blu-ice/
s:sharp	https://www.globalphasing.com/sharp/
s:mlphare	http://www.ccp4.ac.uk/html/mlphare.html
s:imosflm	https://www.mrc-lmb.cam.ac.uk/harry/imosflm/
s:xia2	https://xia2.github.io/
s:dm	http://www.ccp4.ac.uk/dist/html/dm.html

..	ソフト EM
s:mrc	https://www2.mrc-lmb.cam.ac.uk/research/locally-developed-software/image-processing-software/
s:relion	https://www2.mrc-lmb.cam.ac.uk/relion/
s:spider	https://spider.wadsworth.org/
s:eman2	http://blake.bcm.edu/emanwiki/EMAN2
s:eman	http://blake.bcm.edu/emanwiki/EMAN
s:frealign	http://grigoriefflab.janelia.org/frealign
s:imod	http://bio3d.colorado.edu/imod/
s:imagic	https://www.imagescience.de/imagic_em.html
s:ctffind	http://grigoriefflab.janelia.org/ctffind4
s:xmipp	http://xmipp.cnb.csic.es/twiki/bin/view/Xmipp/WebHome
s:sparx	http://sparx-em.org/
s:mdff	http://www.ks.uiuc.edu/Research/mdff/
s:serialem	http://bio3d.colorado.edu/SerialEM/
s:situs	http://situs.biomachina.org/
s:auto3dem	https://cryoem.ucsd.edu/wikis/software/start.php?id=auto3dem:home
s:gctf	https://www.mrc-lmb.cam.ac.uk/kzhang/
s:gautomatch	https://www.mrc-lmb.cam.ac.uk/kzhang/
s:peet	https://bio3d.colorado.edu/PEET/
s:leginon	http://emg.nysbc.org/redmine/projects/leginon/wiki/Leginon_Homepage
s:cryosparc	https://cryosparc.com/
s:protomo	http://www.electrontomography.org/
s:ctffind4	http://grigoriefflab.janelia.org/ctffind4
s:appion	http://www.appion.org
