.	img_angle
//ムービーのスナップショットの方向
..	EMDB
24076	top2
12180	bottom2
12963	top2
13762	top2
32030	top2
32031	top2
31442	top2
31443	top2
13590	top2
24821	bottom2
22954	top2
31089	top2
31090	top2
11932	top2
31400	top2
31174	top2
12814	top2
31566	top2
31567	top2
31568	top2
31569	top2
31570	top2
31571	top2

12524	top2
13103	top2
13104	top2
13441	top2
13193	top2
13192	bottom2
24004	top2
24005	top2
24006	top2
24018	top2
24020	top2
24023	top2
24024	top2
24026	top2

13054	top2
13474	top2
13476	top2
23263	top2
23264	top2
13110	top2
12142	top2
12143	top2
24518	top2
24519	top2
24522	top2
24523	top2
24524	top2
24525	top2
24526	top2
24528	top2
24529	top2
24530	top2
22615	bottom2
22616	bottom2
13390	top2
23376	top2
23377	top2
23386	top2
12314	top2
23941	top2
23942	top2
23943	top2
23944	top2
23945	top2
23946	top2
23947	top2
23948	top2
23270	top2
11899	top2
23692	top2
24425	top2
30923	top2
22705	top2
22706	top2
23459	top2
13422	top2
13423	top2
13116	top2
23217	top2
12340	top2
23775	top2
23776	top2
30952	top2
30953	top2
30356	top2
13087	top2
13088	top2
23699	bottom2
31258	bottom2
13078	bottom2
12984	top2
11698	top2
21320	bottom2
23620	top2
30583	top2
22427	top2
22428	top2
22429	top2
22430	top2
22431	top2
23925	top2
23931	top2

23563	bottom2
11588	bottom2
11589	bottom2
11640	bottom2

23724	top2
13081	top2
11373	top2
11374	top2
11375	top2

12105	top2
12007	top2
12008	top2
12009	top2
12010	top2
12011	top2
12012	top2
12013	top2
12014	top2
12015	top2


11234	top

31290	bottom2
31291	bottom2
31297	bottom2
31298	bottom2
31299	bottom2
31300	bottom2
31301	bottom2

30925	bottom2
30926	bottom2
30932	bottom2
30933	bottom2
30934	bottom2
30935	bottom2

30656	top2
12543	top2
12544	top2
30498	top2
30929	top2
30930	top2
31361	top2
11897	top2
11894	top2
12918	top2
11326	bottom2
11955	top2
11071	top2
11827	top2
11820	top2
23173	top2
30882	bottom2
12521	top2
12522	top2
21553	top2
23206	top2
12518	top2
12519	top2
30700	top2
31197	top2
30422	top2
30612	top2
30281	top2
12287	top2
21161	top2
12540	top2
12541	top2
12542	top2
12193	top2
12557	top2
12761	top2
21160	top2
11928	top2
30147	top2
30148	top2
30149	top2
30150	top2
30153	top2
30154	top2

30547	bottom2
30548	bottom2
30549	bottom2
30550	bottom2
30420	bottom2
23146	top2
30796	top2
30508	top2
22011	top2
22020	top2
22021	top2
22022	top2
22023	top2
22024	top2
22830	top2
30592	top2
30593	top2
30137	top2
23122	top2
23123	top2
30123	bottom2
30124	bottom2
30125	bottom2
23278	top2
