.	icon
Actinia_equina	1
Acyrthosiphon_pisum	1
Acytostelium_subglobosum	1
Aedes_aegypti	1
Aegilops_speltoides	1
Aeropyrum_pernix_K1	1
Ailuropoda_melanoleuca	1
Alces_alces	1
Allium_cepa	1
Amborella_trichopoda	1
Anas_platyrhynchos	1
Andrias_japonicus	1
Anopheles_gambiae	1
Anopheles_stephensi	1
Antilocapra_americana	1
Apis_mellifera	1
Aplysia_kurodai	1
Aptenodytes_forsteri	1
Aquilegia_formosa	1
Arabidopsis_thaliana	1
Arachis_hypogaea	1
Ardea_cinerea	1
Aspergillus_oryzae	1
Avena_sativa	1
Bacillus_subtilis	1
Balaenoptera_musculus	1
Beroe_cucumis	1
Bombyx_mori	1
Bos_taurus	1
Brachiosaurus_altithorax	1
Branchiostoma_floridae	1
Brassica_napus	1
Brassica_oleracea	1
Brassica_rapa	1
Caenorhabditis_elegans	1
Callithrix_jacchus	1
Callorhinus_ursinus	1
Camelus_dromedarius	1
Camelus_ferus	1
Canis_lupus_familiaris	1
Capra_aegagrus	1
Capricornis_crispus	1
Capsicum_annuum	1
Carassius_auratus_auratus	1
Carcharodon_carcharias	1
Casuarius_casuarius	1
Centruroides_vittatus	1
Ceratotherium_simum	1
Cervus_canadensis	1
Cervus_nippon	1
Cettia_diphone	1
Chinchilla_lanigera	1
Chinemys_reevesii	1
Choloepus_didactylus	1
Ciona_intestinalis	1
Ciona_savignyi	1
Citrus_clementina	1
Citrus_sinensis	1
Columba_livia	1
Coptotermes_formosanus	1
Crocodylus_niloticus	1
Ctenolepisma_villosa	1
Cycas_rumphii	1
Cynocephalus_volans	1
Danio_rerio	1
Daphnia_pulex	1
Daubentonia_madagascariensis	1
Delphinus_delphis	1
Dictyostelium_discoideum	1
Diplazium_hachijoense	1
Diplazium_tomitaroanum_Masam	1
Dromaius_novaehollandiae	1
Drosophila_melanogaster	1
Dugesia_japonica	1
Dugong_dugon	1
Echiniscus	1
Eisenia_fetida	1
Elaphe_climacophora	1
Elephas_maximus	1
Equus_caballus	1
Escherichia_coli	1
Eubalaena_japonica	1
Eumeces_latiscutatus	1
Felis_silvestris_catus	1
Filobasidiella_neoformans	1
Fundulus_heteroclitus	1
Gallus_gallus	1
Gasterosteus_aculeatus	1
Giraffa_camelopardalis	1
Glandiceps_hacksi	1
Glycine_max	1
Gorilla_beringei	1
Gossypium_hirsutum	1
Gossypium_raimondii	1
Guillardia_theta	1
Haliclona_permollis	1
Halocynthia_roretzi	1
Helianthus_annuus	1

Hordeum_vulgare	1
Hydra_magnipapillata	1
Hyla_japonica	1
Hystrix_cristata	1
Lactuca_sativa	1
Lama_glama	1
Larus_ridibundus	1
Latimeria_chalumnae	1
Lepus_brachyurus	1
Loris_lydekkerianus	1
Lotus_corniculatus	1
Lotus_japonicus	1
Loxodonta_africana	1
Macaca_fascicularis	1
Macaca_fuscata	1
Macaca_mulatta	1
Malus_pumila	1
Mandrillus_sphinx	1
Manis_pentadactyla	1
Medicago_truncatula	1
Meleagris_gallopavo	1
Mirounga_leonina	1
Monodelphis_domestica	1
Monosiga_brevicollis	1
Mus_musculus	1
Mustela_itatsi	1
Myxine_glutinosa	1
Neoceratodus_forsteri	1
Nicotiana_tabacum	1
Nyctereutes_procyonoides	1
Okapia_johnstoni	1
Oncorhynchus_mykiss	1
Ornithorhynchus_anatinus	1
Orycteropus_afer	1
Oryctolagus_cuniculus	1
Oryza_sativa	1
Oryzias_javanicus	1
Oryzias_latipes	1
Otolemur_crassicaudatus	1
Ovis_aries	1
Ovis_canadensis	1
Pan_paniscus	1
Pan_troglodytes	1
Panthera_leo	1
Panthera_tigris	1
Papilio_machaon	1
Papilio_polytes	1
Papilio_xuthus	1
Papio_anubis	1
Papio_hamadryas	1
Papio_papio	1
Paracentrotus_lividus	1
Paramecium_tetraurelia	1
Petromyzon_marinus	1
Phaeodactylum_tricornutum	1
Phoca_largha	1
Physcomitrella_patens_subsp_patens	1
Physeter_macrocephalus	1
Picea_glauca	1
Picea_sitchensis	1
Pimephales_promelas	1
Pinus_taeda	1
Plasmodium_falciparum	1
Polypterus_endlicheri	1
Polysphondylium_pallidum	1
Pomacentrus_moluccensis	1
Pongo_pygmaeus	1
Populus_tremuloides	1
Populus_trichocarpa	1
Procavia_capensis	1
Prosopocoilus_inclinatus	1
Prunus_persica	1
Pteranodon_longiceps	1
Ptychodera_flava	1
Ramazzottius	1
Rangifer_tarandus	1
Raphanus_raphanistrum	1
Raphanus_sativus	1
Rattus_norvegicus	1
Saccharomyces_cerevisiae	1
Saccharum_officinarum	1
Salmo_salar	1
Schistosoma_japonicum	1
Schistosoma_mansoni	1
Schizosaccharomyces_pombe	1
Sciurus_lis	1
Solanum_lycopersicum	1
Solanum_tuberosum	1
Sorghum_bicolor	1
Spheniscus_magellanicus	1
Sphenodon_punctatus	1
Stegosaurus_stenops	1
Strongylocentrotus_purpuratus	1
Struthio_camelus	1
Sus_scrofa_domestica	1
Sympetrum_frequens	1
Synechocystis_sp_PCC_6803	1
Tachyglossus_aculeatus	1
Taeniopygia_guttata	1
Takifugu_rubripes	1
Tapirus_indicus	1
Torpedo_californica	1
Toxoplasma_gondii	1
Tribolium_castaneum	1
Triceratops_horridus	1
Trichoplax_adhaerens	1
Trichosurus_vulpecula	1
Triticum_aestivum	1
Trypanosoma_brucei	1
Tupaia_javanica	1
Tursiops_truncatus	1
Tyrannosaurus_rex	1
Ursus_arctos	1
Vicugna_pacos	1
Vitis_vinifera	1
Vulpes_vulpes	1
Xenopus_laevis	1
Xenopus_tropicalis	1
Xenoturbella_bocki	1
Zalophus_californianus	1
Zea_mays	1

.	icon_zoku

Actinia	Actinia_equina
Acyrthosiphon	Acyrthosiphon_pisum
Acytostelium	Acytostelium_subglobosum
Aedes	Aedes_aegypti
Aegilops	Aegilops_speltoides
Aeropyrum	Aeropyrum_pernix_K1
Ailuropoda	Ailuropoda_melanoleuca
Alces	Alces_alces
Allium	Allium_cepa
Amborella	Amborella_trichopoda
