.	chem
6O7	Plicamycin
MQ7	Vitamin K2
MQ9	Vitamin K2
MQ8	Vitamin K2
7MQ	Vitamin K2
NFF	Nafcillin
CL0	Chlorophyll A
CL1	Chlorophyll A
CL2	Chlorophyll A
FIS	Fidarestat
FIR	Fidarestat
45H	Canthaxanthin
45D	Canthaxanthin
CEF	Cefotaxime
FZS	Ceftriaxone
P4g	Diethylene glycol diethyl ether
RIP	Ribose
DTV	Dithiothreitol
PDO	1,3-Propanediol
A8S	Abscisic acid
CP	Carbamoyl phosphate
O4B	18-Crown-6
HCS	Homocysteine
OCA	Caprylic acid
BCB	Bacteriochlorophyll
IPT	Isopropyl β-D-1-thiogalactopyranoside
ZMA	ZM-241,385
MRY	Erythritol
TCE	TCEP
PNM	Benzylpenicillin
F6R	Fructose 6-phosphate
EF2	Thalidomide
B4P	Ap4A
GDD	Guanosine diphosphate mannose
AMU	N-Acetylmuramic acid
2AN	8-Anilinonaphthalene-1-sulfonic acid

MTA	Adenylthiomethylpentose
PRP	Phosphoribosyl pyrophosphate
MPO	MOPS
CXS	CAPS (buffer)
UPG	Uridine diphosphate glucose
A2G	N-Acetylgalactosamine
NS2	Daridorexant
NT5	Filorexant
NRK	Lemborexant
PGO	Propanediol
BTB	Bis-tris methane
B3P	Bis-tris propane
NVN	SB-408124
NVK	SB-334867
SI2	Sialic acid
SIA	Sialic acid
FLC	Citric acid
AFL	Fucose
FUC	Fucose
FUL	Fucose
FCB	Fucose
FCA	Fucose
GLA	Galactose
GLB	Galactose
LAT	Lactose
LBT	Lactose
LDA	Lauryldimethylamine oxide
R2R	Ruthenium red
BET	Trimethylglycine
DTT	Dithiothreitol
TRS	Tris
TAM	Tris
NAG	N-Acetylglucosamine
NDG	N-Acetylglucosamine
A2D	N-Acetylgalactosamine
DIO	1,4-Dioxane
FE	Iron
FE2	Iron
MPD	2-Methyl-2,4-pentanediol
FS1	Iron–sulfur cluster
FS4	Iron–sulfur cluster
FES	Iron–sulfur cluster
F3S	Iron–sulfur cluster
